name,street,city,state,zip,latitude,longitude,facility_type,offers_methadone,offers_buprenorphine,offers_naltrexone,accepts_medicaid
MedMark Treatment Centers,8500 Broadway Avenue,Merrillville,IN,46410,41.4635733,-87.3370629,"OTP, SA",True,True,False,False
Porter Starke Services Inc,601 Wall Street,Valparaiso,IN,46383,41.4893905,-87.0537208,"MH, SA",False,True,True,True
"Porter-Starke Services, Inc",2507 Cumberland Ave.,Valparaiso,IN,46383,41.4916125,-87.0514815,"OTP, SA",True,False,False,True
Serenity Trt and Counseling Ctr Inc,19408 North Creek Drive,Chicago Heights,IL,60411,41.5422008,-87.5600803,SA,True,True,False,True
Porter Starke Services Inc,3176 Lancer Street,Portage,IN,46368,41.5601327,-87.1807041,"MH, SA",False,True,True,True
Spero Health of Indiana LLC,1351 West 11th Avenue,Gary,IN,46404,41.5913833,-87.3537665,SA,False,True,False,True
"Metro Treatment Center of Gary, LP",5001 East Dunes Highway,Gary,IN,46403,41.596296,-87.277451,"OTP, SA",True,True,False,True
Heartland Wellness Center,101 Beverly Drive,Chesterton,IN,46304,41.5956616,-87.0482567,"MH, SA",False,True,True,True
New Life Center -Edgewater Systems for Balanced Living,1110 West Fifth Ave.,Gary,IN,46402,41.5996,-87.3316,OTP,True,False,False,False
Porter Starke Services Inc,1230 West State Road 2,La Porte,IN,46350,41.5997289,-86.7323017,"OTP, SA",True,False,False,True
Groups Recover Together,614 Andrew Avenue,La Porte,IN,46350,41.6011716,-86.7344864,SA,False,True,False,True
NorthShore Health Centers,508 Legacy Plaza West,La Porte,IN,46350,41.602465,-86.6953383,"MH, SA",False,True,True,True
NorthShore Health Centers,801 Broadway,Chesterton,IN,46304,41.6111316,-87.0634106,"MH, SA",False,True,True,True
Christian Community Health Center,364 Torrence Avenue,Calumet City,IL,60409,41.6266091,-87.5593999,"MH, SA",False,True,True,True
Regional Health Systems,3903 Indianapolis Boulevard,East Chicago,IN,46312,41.6418397,-87.4799747,"MH, SA",False,True,True,True
Olatoye Rehabilitation Center Inc,9135 South Exchange Avenue,Chicago,IL,60617,41.7289467,-87.5524419,"OTP, SA",True,False,False,True
